root_id,super_class,cell_class,cell_type,top_nt,top_nt_conf,side,nerve
720575940646798883,optic,LO>LOP,T5b,acetylcholine,0.584991098419146,right,
720575940647087412,optic,ME>LO.LOP,TmY5a,glutamate,0.6114726534440256,right,
720575940626018748,optic,ME>LO.LOP,TmY5a,glutamate,0.6839627400222765,right,
720575940623714765,optic,ME>LOP,T4b,acetylcholine,0.542959270333099,right,
720575940623725803,optic,LO>LOP,T5b,acetylcholine,0.5931061678095876,right,
720575940623728522,optic,ME>LOP,T4b,acetylcholine,0.5192155809417776,right,
720575940623927559,optic,LO>LOP,T5b,acetylcholine,0.5007309303465314,right,
720575940638601030,optic,ME>LOP,T4b,acetylcholine,0.6389666503170739,right,
720575940638648639,optic,LOP>LO.ME,Y12,glutamate,0.6208294691552245,right,
720575940638894406,optic,ME>LOP,T4b,acetylcholine,0.6812291450946193,right,
720575940638894911,optic,ME>LO.LOP,TmY5a,glutamate,0.7263486277578227,right,
720575940625185319,optic,ME>LO.LOP,TmY5a,glutamate,0.7671436907886567,right,
720575940625891623,optic,ME>LO.LOP,TmY5a,glutamate,0.594865089415558,right,
720575940625896718,optic,ME>LO.LOP,TmY5a,glutamate,0.6375347637488242,right,
720575940625405005,optic,ME>LO.LOP,TmY5a,glutamate,0.6645781400627034,right,
720575940612963094,optic,ME>LO.LOP,TmY5a,glutamate,0.6146281638799247,right,
720575940612660520,optic,LO>LOP,T5b,acetylcholine,0.5106868219067954,right,
720575940623950077,optic,LO>LOP,T5b,acetylcholine,0.492869484740439,right,
720575940631894238,optic,ME>LOP,T4b,acetylcholine,0.5132639581673393,right,
720575940631668072,optic,ME>LOP,T4b,acetylcholine,0.5799956473784684,right,
720575940624168455,optic,ME>LO.LOP,TmY5a,glutamate,0.6741755574625693,right,
720575940632213924,optic,LO>LOP,T5b,acetylcholine,0.5015801973018683,right,
720575940632216290,optic,LO>LOP,T5b,acetylcholine,0.5344130645542113,right,
720575940632300345,optic,ME>LOP,T4b,acetylcholine,0.6298070155745452,right,
720575940632328403,optic,ME>LOP,T4b,acetylcholine,0.6393967742616817,right,
720575940632359566,optic,ME>LOP,T4b,acetylcholine,0.6297043171586636,right,
720575940623597704,optic,ME>LOP,T4b,acetylcholine,0.5758875875120593,right,
720575940623618999,optic,ME>LOP,T4b,acetylcholine,0.697794624986811,right,
720575940623674893,optic,ME>LOP,T4b,acetylcholine,0.6460782705679822,right,
720575940645145891,optic,ME>LOP,T4b,acetylcholine,0.6539862338089131,right,
720575940623417525,optic,ME>LOP,T4b,acetylcholine,0.5138850283175289,right,
720575940623502119,optic,ME>LOP,T4b,acetylcholine,0.5332827011809872,right,
720575940623520041,optic,ME>LO.LOP,TmY5a,glutamate,0.6448789627159802,right,
720575940623892777,optic,ME>LO.LOP,TmY5a,glutamate,0.7316717915948423,right,
720575940623987244,optic,ME>LOP,T4b,acetylcholine,0.5516927957630674,right,
720575940631368259,optic,LO>LOP,T5b,acetylcholine,0.4638775351172095,right,
720575940631110475,optic,ME>LOP,T4b,acetylcholine,0.6275298221064324,right,
720575940609062665,optic,ME>LOP,T4b,acetylcholine,0.6423866141777606,right,
720575940650521209,optic,ME>LOP,T4b,acetylcholine,0.661851070954087,right,
720575940651671542,optic,ME>LO.LOP,TmY5a,glutamate,0.6578019416609392,right,
720575940613305640,optic,ME>LOP,T4b,acetylcholine,0.6889782388784905,right,
720575940613342873,optic,LO>LOP,T5b,acetylcholine,0.5122326585903688,right,
720575940612906904,optic,LO>LOP,T5b,acetylcholine,0.5751659068337494,right,
720575940612945686,optic,LO>LOP,T5b,acetylcholine,0.6170575967864492,right,
720575940625460494,optic,ME>LO.LOP,TmY5a,glutamate,0.7194895047801607,right,
720575940625504601,optic,LO>LOP,T5b,acetylcholine,0.5838128435205979,right,
720575940623794154,optic,ME>LO.LOP,TmY5a,glutamate,0.6386129980952936,right,
720575940623828924,optic,ME>LO.LOP,TmY5a,glutamate,0.6242397448357201,right,
720575940624142316,optic,ME>LO.LOP,TmY5a,glutamate,0.6703722711455141,right,
720575940624164791,optic,ME>LO.LOP,TmY5a,glutamate,0.5995195472387439,right,
720575940631813391,optic,LO>LOP,T5b,acetylcholine,0.5187726724873215,right,
720575940631408203,optic,LO>LOP,T5b,acetylcholine,0.615458330687845,right,
720575940631501123,optic,LO>LOP,T5b,acetylcholine,0.5352845383852607,right,
720575940631502137,optic,ME>LO.LOP,TmY5a,glutamate,0.6724198446652311,right,
720575940624207031,optic,ME>LO.LOP,TmY5a,glutamate,0.5707798295310276,right,
720575940624241092,optic,ME>LO.LOP,TmY5a,glutamate,0.6255787264154126,right,
720575940624313068,optic,LO>LOP,T5b,acetylcholine,0.5779826993695034,right,
720575940624359974,optic,ME>LO.LOP,TmY5a,glutamate,0.6861449236783719,right,
720575940623986439,optic,LO>LOP,T5b,acetylcholine,0.5685725604819422,right,
720575940624411796,optic,ME>LOP,T4b,acetylcholine,0.5225617526094136,right,
720575940624430094,optic,LO>LOP,T5b,acetylcholine,0.7489542916971762,right,
720575940613718824,optic,LO>LOP,T5b,acetylcholine,0.6128261956002159,right,
720575940613751658,optic,ME>LO.LOP,TmY5a,glutamate,0.6959211527781176,right,
720575940613804083,optic,LO>LOP,T5b,acetylcholine,0.612141769323296,right,
720575940613876718,optic,LO>LOP,T5b,acetylcholine,0.5438972520433704,right,
720575940624823700,optic,LO>LOP,T5b,acetylcholine,0.654035129539084,right,
720575940624565006,optic,ME>LOP,T4b,acetylcholine,0.5179006616079662,right,
720575940624620779,optic,ME>LO.LOP,TmY5a,glutamate,0.6846933272689257,right,
720575940636011127,optic,LO>LOP,T5b,acetylcholine,0.6966681425909744,right,
720575940625641418,optic,LO>LOP,T5b,acetylcholine,0.6995248486454096,right,
720575940625109432,optic,ME>LO.LOP,TmY5a,glutamate,0.5781031337002872,right,
720575940625171533,optic,ME>LOP,T4b,acetylcholine,0.6718219031438318,right,
720575940624785422,optic,ME>LO.LOP,TmY5a,glutamate,0.6344546805285437,right,
720575940624796990,optic,ME>LO.LOP,TmY5a,glutamate,0.6539596744547862,right,
720575940625210130,optic,LO>LOP,T5b,acetylcholine,0.5238648396755425,right,
720575940625233552,optic,ME>LOP,T4b,acetylcholine,0.6305253534162335,right,
720575940625270798,optic,ME>LO.LOP,TmY5a,glutamate,0.6835629368349563,right,
720575940625339324,optic,ME>LO.LOP,TmY5a,glutamate,0.6418017664178021,right,
720575940624846823,optic,ME>LOP,T4b,acetylcholine,0.5979915316413957,right,
720575940631762233,optic,ME>LOP,T4b,acetylcholine,0.5896400689742498,right,
720575940631548714,optic,LO>LOP,T5b,acetylcholine,0.5129016934262186,right,
720575940631560504,optic,LO>LOP,T5b,acetylcholine,0.7477137770402952,right,
720575940631567687,optic,ME>LOP,T4b,acetylcholine,0.5233400253358212,right,
720575940624658184,optic,ME>LO.LOP,TmY5a,glutamate,0.7173613954291307,right,
720575940624677048,optic,LO>LOP,T5b,acetylcholine,0.659437917529407,right,
720575940624718862,optic,ME>LOP,T4b,acetylcholine,0.6211706623278062,right,
720575940624379317,optic,ME>LO.LOP,TmY5a,glutamate,0.7370599879125872,right,
720575940613415922,optic,ME>LO.LOP,TmY5a,glutamate,0.6724000379422307,right,
720575940613422033,optic,ME>LO.LOP,TmY5a,glutamate,0.7372475932908308,right,
720575940613471205,optic,ME>LOP,T4b,acetylcholine,0.610162061989584,right,
720575940613492502,optic,ME>LO.LOP,TmY5a,glutamate,0.7269209702023869,right,
720575940613499857,optic,LO>LOP,T5b,acetylcholine,0.565260309985004,right,
720575940613645487,optic,ME>LOP,T4b,acetylcholine,0.6946459408717657,right,
720575940624439015,optic,LO>LOP,T5b,acetylcholine,0.5709499970847514,right,
720575940624097535,optic,ME>LO.LOP,TmY5a,glutamate,0.692030861179575,right,
720575940624101709,optic,LO>LOP,T5b,acetylcholine,0.6962344885305889,right,
720575940639449909,optic,ME>LO.LOP,TmY5a,glutamate,0.7835623688068205,right,
720575940624913848,optic,ME>LO.LOP,TmY5a,glutamate,0.6574204933208703,right,
720575940613288499,optic,ME>LOP,T4b,acetylcholine,0.5278218152651957,right,
720575940613292595,optic,ME>LOP,T4b,acetylcholine,0.5842969033605492,right,
720575940635615156,optic,ME>LO.LOP,TmY5a,glutamate,0.7395278518937786,right,
720575940635894158,optic,ME>LO.LOP,TmY5a,glutamate,0.6879138940371373,right,
720575940635913840,optic,ME>LOP,T4b,acetylcholine,0.4969727660194432,right,
720575940635926008,optic,LO>LOP,T5b,acetylcholine,0.662068705122639,right,
720575940635981167,optic,LO>LOP,T5b,acetylcholine,0.5836126274714529,right,
720575940635994872,optic,ME>LO.LOP,TmY5a,glutamate,0.632355610536587,right,
720575940624961328,optic,LO>LOP,T5b,acetylcholine,0.5399855535640061,right,
720575940647123076,optic,LOP>LO.ME,Y12,glutamate,0.7054145237342093,right,
720575940631601227,optic,ME>LOP,T4b,acetylcholine,0.5684069125123825,right,
720575940631630476,optic,ME>LO.LOP,TmY5a,glutamate,0.6137994153856602,right,
720575940636419502,optic,LO>LOP,T5b,acetylcholine,0.571576256235439,right,
720575940617111227,optic,ME>LO.LOP,TmY5a,glutamate,0.7150396100053344,right,
720575940617162779,optic,ME>LO.LOP,TmY5a,glutamate,0.6462209413603957,right,
720575940634942143,optic,LO>LOP,T5b,acetylcholine,0.4778781352798729,right,
720575940634202480,optic,LO>LOP,T5b,acetylcholine,0.6970645854784496,right,
720575940634206576,optic,LO>LOP,T5b,acetylcholine,0.7184319889808188,right,
720575940634215836,optic,LO>LOP,T5b,acetylcholine,0.5193744819697622,right,
720575940634320097,optic,ME>LO.LOP,TmY5a,glutamate,0.5090394093957527,right,
720575940629942492,optic,ME>LO.LOP,TmY5a,glutamate,0.6647033954278982,right,
720575940629974978,optic,ME>LO.LOP,TmY5a,glutamate,0.6230230485890236,right,
720575940629575921,optic,ME>LOP,T4b,acetylcholine,0.5638400655681405,right,
720575940629622263,optic,ME>LO.LOP,TmY5a,glutamate,0.6381350101778877,right,
720575940629632615,optic,ME,Mi10,acetylcholine,0.8341929054379003,right,
720575940630025175,optic,ME>LO.LOP,TmY5a,glutamate,0.7105120672417609,right,
720575940617185403,optic,LO>LOP,T5b,acetylcholine,0.6424025870145441,right,
720575940617198265,optic,ME>LO.LOP,TmY5a,glutamate,0.688442899740618,right,
720575940616544139,optic,ME>LO.LOP,TmY5a,glutamate,0.6155715158462753,right,
